,index,q95,rodada,y_pred_XGBRegressor
2,102,29.2342,1770,20.196026
3,96,539.255,1770,483.11682
4,8,1.06597,1770,3.17489
5,101,0.0,1770,61.685684
6,85,72.7823,1770,61.628555
7,48,26.3377,1770,21.299173
8,129,91.2264,1770,92.138016
9,2,4.9898,1770,4.6938214
10,97,499.1056,1770,483.09955
11,14,3.1201,1770,1.6910172
12,69,9.8188,1770,2.065592
13,90,21.952,1770,24.5174
14,75,16.5676,1770,15.885144
15,9,50.0127,1770,31.451704
16,79,19.0626,1770,16.48725
17,23,16.2733,1770,20.131388
18,7,44.5338,1770,23.415882
19,132,63.9294,1770,64.41819
20,19,1.9377,1770,2.685917
21,54,8.7703,1770,16.076181
22,111,30.2317,1770,31.146223
23,5,0.4344,1770,1.1162621
24,45,1.523,1770,1.793501
25,145,710.2378499999994,1770,789.9436
26,108,521.196,1770,484.54327
27,139,0.0,1770,-0.08943399
28,124,44.9176,1770,56.3145
29,72,1.2908,1770,0.96162444
0,83,4.8713,1771,7.9934793
1,80,48.2795,1771,61.507034
2,25,0.036,1771,0.10935227
3,20,2.254,1771,2.3910828
4,106,64.84307000000018,1771,60.33525
5,145,710.2378499999994,1771,803.8523
6,128,90.0729,1771,75.85818
7,131,65.8824,1771,30.037933
8,58,49.4681,1771,43.09463
9,117,653.749,1771,668.40906
10,123,22.3438,1771,25.291784
11,100,0.0224,1771,0.5120059
12,6,4.138,1771,1.3014352
13,102,29.2342,1771,26.628695
14,146,781.017,1771,801.9443
15,147,0.0,1771,-0.6856528
16,23,16.2733,1771,20.893684
17,127,92.2362,1771,77.67091
18,15,20.7338,1771,34.551884
19,99,0.2635,1771,-1.4974996
20,148,804.869,1771,804.5273
21,144,0.0,1771,-2.0819733
22,12,4.6613,1771,5.3611083
23,109,21.0648,1771,8.532073
24,93,19.7051,1771,27.185022
25,49,0.5381,1771,0.76309794
26,90,21.952,1771,26.512865
27,2,4.9898,1771,3.657883
28,96,539.255,1771,483.55307
29,37,9.669585,1771,19.767748
0,129,91.2264,1772,76.575066
1,50,1.4889,1772,0.8547358
2,62,0.9316,1772,0.5669441
3,40,0.8705000000000002,1772,1.4620314
4,94,480.486,1772,417.6777
5,92,26.507345,1772,32.181015
6,80,48.2795,1772,85.599365
7,70,24.3336,1772,40.108597
8,133,155.102,1772,77.682495
9,100,0.0224,1772,3.0335722
10,84,6.2164,1772,14.559025
11,145,710.2378499999994,1772,781.1756
12,45,1.523,1772,1.792736
13,38,230.307,1772,266.72498
14,139,0.0,1772,0.5542802
15,55,41.95629000000001,1772,45.819977
16,4,30.2281,1772,35.91295
17,90,21.952,1772,31.965704
18,79,19.0626,1772,23.389673
19,111,30.2317,1772,20.12851
20,28,0.1309,1772,0.07306352
21,5,0.4344,1772,2.0674548
22,126,26.5578,1772,32.34881
23,103,35.2917,1772,13.912392
24,57,0.3474,1772,2.337644
25,18,0.4606,1772,0.7956706
26,128,90.0729,1772,76.80662
27,99,0.2635,1772,2.5133536
28,6,4.138,1772,1.4847462
29,68,14.04103499999995,1772,20.304844
0,4,30.2281,1773,14.556584
1,40,0.8705000000000002,1773,2.8911808
2,105,3.8259,1773,3.9145617
3,117,653.749,1773,657.0465
4,2,4.9898,1773,4.6660275
5,129,91.2264,1773,90.492805
6,137,893.539,1773,737.43646
7,98,0.9242,1773,2.7557251
8,34,1.8049,1773,2.8001354
9,77,1.0102,1773,1.0262295
10,146,781.017,1773,818.19574
11,29,0.2903,1773,0.13213705
12,125,4.1632,1773,5.2862263
13,147,0.0,1773,0.037635643
14,10,7.8011,1773,6.78273
15,76,0.9202,1773,0.6854914
16,50,1.4889,1773,1.1309658
17,110,19.308,1773,34.83585
18,79,19.0626,1773,26.289751
19,9,50.0127,1773,20.527893
20,39,1.46,1773,2.8911808
21,55,41.95629000000001,1773,31.256765
22,87,3.9026,1773,5.5522275
23,83,4.8713,1773,11.560807
24,109,21.0648,1773,13.763913
25,84,6.2164,1773,21.324821
26,13,0.6751,1773,0.33483276
27,35,267.5,1773,149.60481
28,7,44.5338,1773,20.159687
29,90,21.952,1773,20.401247
0,55,41.95629000000001,1774,28.757984
1,141,806.112,1774,816.94794
2,25,0.036,1774,0.083525315
3,121,25.9419,1774,26.965258
4,33,4.3,1774,3.2197695
5,144,0.0,1774,-0.5871746
6,31,2.27,1774,4.9389124
7,127,92.2362,1774,93.38547
8,22,12.6221,1774,7.077391
9,49,0.5381,1774,0.5205873
10,58,49.4681,1774,26.941612
11,82,0.8080000000000002,1774,0.31518355
12,92,26.507345,1774,21.053505
13,79,19.0626,1774,22.748755
14,72,1.2908,1774,0.60634696
15,0,2.601039999999997,1774,3.1497195
16,77,1.0102,1774,2.0965562
17,8,1.06597,1774,3.7504709
18,50,1.4889,1774,0.8633014
19,11,2.2915,1774,4.3635125
20,143,0.0,1774,-0.016920835
21,76,0.9202,1774,1.298308
22,12,4.6613,1774,4.6301107
23,145,710.2378499999994,1774,779.6951
24,95,6.8993,1774,6.8017054
25,105,3.8259,1774,0.8485305
26,68,14.04103499999995,1774,23.745049
27,142,0.0,1774,2.3818278
28,56,1.0565,1774,-0.6097631
29,100,0.0224,1774,6.465763
0,146,781.017,1775,819.49646
1,69,9.8188,1775,4.265755
2,123,22.3438,1775,20.405455
3,44,18.8523,1775,13.908552
4,103,35.2917,1775,10.181234
5,75,16.5676,1775,21.866705
6,115,100.569,1775,94.46273
7,59,0.9925,1775,1.6197033
8,141,806.112,1775,732.9954
9,72,1.2908,1775,0.6334475
10,93,19.7051,1775,26.973463
11,88,5.661469999999989,1775,1.1770668
12,20,2.254,1775,3.8126044
13,64,1.3146,1775,1.2567071
14,24,19.7695,1775,23.594646
15,94,480.486,1775,417.45206
16,147,0.0,1775,0.032341648
17,9,50.0127,1775,61.20272
18,133,155.102,1775,92.42138
19,101,0.0,1775,33.32244
20,55,41.95629000000001,1775,58.400414
21,111,30.2317,1775,16.175495
22,30,25.3048,1775,23.180738
23,45,1.523,1775,3.875769
24,4,30.2281,1775,28.777367
25,125,4.1632,1775,16.259014
26,74,14.6056,1775,21.937025
27,13,0.6751,1775,0.39366624
28,119,649.721,1775,674.3346
29,70,24.3336,1775,43.926487
0,105,3.8259,1776,1.5095912
1,65,4.2191,1776,3.0175672
2,13,0.6751,1776,0.35404566
3,106,64.84307000000018,1776,63.01194
4,117,653.749,1776,651.6371
5,0,2.601039999999997,1776,1.7471532
6,88,5.661469999999989,1776,2.9337754
7,91,2.2008,1776,-0.46586248
8,68,14.04103499999995,1776,19.807737
9,37,9.669585,1776,14.580797
10,61,1.4438,1776,2.1279428
11,35,267.5,1776,147.90367
12,72,1.2908,1776,0.5721568
13,6,4.138,1776,1.2259251
14,103,35.2917,1776,16.55139
15,124,44.9176,1776,38.612186
16,108,521.196,1776,592.16907
17,121,25.9419,1776,38.49839
18,50,1.4889,1776,0.8154659
